LANGUAGE,Original,English,French,Spanish,Italian,German,Czech,Russian,Polish,Hungarian,Japanese,Chinesesimp,Portuguese,Chinese,Chinesetrad,Korean
STR_DZBBC_FLARE_DESC,Special event item for gas zones.,Special event item for gas zones.,Objet special d evenement pour les zones de gaz.,Objeto especial de evento para zonas de gas.,Oggetto evento speciale per zone gas.,Spezial-Eventitem fuer Gaszonen.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.,Special event item for gas zones.
STR_DZBBC_FLARE_LEGACY_NAME,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel,GasZonen_Leuchtfackel
STR_DZBBC_FLARE_LEGACY_DESC,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Recompense ConvoyZ garantie.,Recompensa ConvoyZ garantizada.,Ricompensa ConvoyZ garantita.,Garantierte ConvoyZ-Belohnung.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.,Guaranteed ConvoyZ reward.
STR_DZBBC_EVENTMARKER_NAME,ConvoyZ Event Marker,ConvoyZ Event Marker,Marqueur d evenement ConvoyZ,Marcador de evento ConvoyZ,Marcatore evento ConvoyZ,ConvoyZ Eventmarker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker,ConvoyZ Event Marker
STR_DZBBC_EVENTMARKER_DESC,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Objet serveur invisible pour les marqueurs d evenement.,Objeto auxiliar invisible del servidor para marcadores de evento.,Oggetto server invisibile per marker evento.,Unsichtbares Server-Hilfsobjekt fuer Eventmarker.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.,Invisible server helper object for event markers.
STR_DZBBC_WRECKPROXY_NAME,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,Proxy d epave ConvoyZ,Proxy de restos ConvoyZ,Proxy relitto ConvoyZ,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy,ConvoyZ Wreck Proxy
STR_DZBBC_WRECKPROXY_DESC,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Objet serveur pour les apparitions du site du crash.,Objeto auxiliar del servidor para apariciones del sitio del accidente.,Oggetto server per spawn del sito di schianto.,Server-Hilfsobjekt fuer Crashsite-Spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.,Server helper object for crashsite spawns.
STR_DZBBC_ACTION_HACK_BLACKBOX,Hack blackbox,Hack blackbox,Pirater la boite noire,Hackear caja negra,Hackera scatola nera,Blackbox hacken,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox,Hack blackbox
STR_DZBBC_ACTION_DECRYPT_DATACORE,Decrypt data core,Decrypt data core,Dechiffrer le noyau de donnees,Descifrar nucleo de datos,Decifra nucleo dati,Datenkern entschluesseln,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core,Decrypt data core
STR_DZBBC_MARKER_CRASHSITE,ConvoyZ unstable signal,ConvoyZ unstable signal,Signal ConvoyZ instable,Senal ConvoyZ inestable,Segnale ConvoyZ instabile,ConvoyZ Signal instabil,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal,ConvoyZ unstable signal
STR_DZBBC_MARKER_TERMINAL,Active military terminal,Active military terminal,Terminal militaire actif,Terminal militar activo,Terminale militare attivo,Aktives Militaerterminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal,Active military terminal
STR_DZBBC_MARKER_TRANSPORT,Data core,Data core,Noyau de donnees,Nucleo de datos,Nucleo dati,Datenkern,Data core,Data core,Data core,Data core,Data core,Data core,Data core,Data core,Data core,Data core
STR_DZBBC_HUD_ENEMIES,Enemies,Enemies,Ennemis,Enemigos,Nemici,Gegner,Enemies,Enemies,Enemies,Enemies,Enemies,Enemies,Enemies,Enemies,Enemies,Enemies
STR_DZBBC_HUD_HACK,Blackbox hack,Blackbox hack,Piratage Blackbox,Hackeo Blackbox,Hack Blackbox,Blackbox Hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack,Blackbox hack
STR_DZBBC_HUD_TERMINAL,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal,Terminal
STR_DZBBC_TITLE_BLACKBOX,Blackbox,Blackbox,Boite noire,Caja negra,Scatola nera,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox,Blackbox
STR_DZBBC_TITLE_SIGNAL_WARNING,Signal warning,Signal warning,Alerte signal,Alerta de senal,Avviso segnale,Signalwarnung,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning,Signal warning
STR_DZBBC_TITLE_RECOVERY_UNIT,Recovery unit,Recovery unit,Unite de recuperation,Unidad de recuperacion,Unita recupero,Bergungseinheit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit,Recovery unit
STR_DZBBC_TITLE_ADMIN,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin,DZBBC Admin
STR_DZBBC_ADMIN_NO_PERMISSION,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,Aucune permission ou DebugCommandsEnabled=false.,Sin permiso o DebugCommandsEnabled=false.,Nessun permesso o DebugCommandsEnabled=false.,Keine Berechtigung oder DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.,No permission or DebugCommandsEnabled=false.
STR_DZBBC_TITLE_TESTMODE,DZBBC test mode,DZBBC test mode,Mode test DZBBC,Modo de prueba DZBBC,Modalita test DZBBC,DZBBC Testmodus,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode,DZBBC test mode
STR_DZBBC_TEST_SPAWNED,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Objets de test crees. Details dans le RPT serveur.,Objetos de prueba generados. Detalles en el RPT del servidor.,Oggetti test creati. Dettagli nel RPT server.,Testobjekte gespawnt. Details stehen im Server-RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.,Test objects spawned. Details are in the server RPT.
STR_DZBBC_TEST_VISUAL_READY,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,Vous etes au point de test. Verifiez objets marqueurs et notification.,Estas en el spawn de prueba. Revisa objetos marcadores y aviso.,Sei allo spawn di test. Controlla oggetti marker e notifica.,Du stehst am Testspawn. Pruefe Items Marker und Notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.,You are at the test spawn. Check items markers and notify.
STR_DZBBC_TEST_COMPLETED,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Fin de test definie. Verifiez loot marqueurs et objets.,Finalizacion de prueba definida. Revisa loot marcadores y objetos.,Completamento test impostato. Controlla loot marker e oggetti.,Testabschluss gesetzt. Pruefe Loot Marker und Objekte.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.,Test completion set. Check loot markers and objects.
STR_DZBBC_MSG_EVENT_ANNOUNCE,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Appel de detresse: un convoi militaire a ete attaque. Un signal instable a ete marque.,Llamada de socorro: un convoy militar fue atacado. Se marco una senal inestable.,Chiamata di soccorso: un convoglio militare e stato attaccato. Un segnale instabile e stato marcato.,Notruf: Ein Militaerkonvoi wurde angegriffen. Ein instabiles Signal wurde markiert.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.,Distress call: A military convoy was attacked. An unstable signal was marked.
STR_DZBBC_MSG_PLAYER_DETECTED,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Mouvement dans la zone de combat. Les deux factions priorisent les joueurs.,Movimiento en la zona de combate. Ambas facciones priorizan jugadores.,Movimento nella zona di combattimento. Entrambe le fazioni priorizzano i giocatori.,Bewegung im Kampfbereich. Beide Fraktionen priorisieren Spielerziele.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.,Movement in the combat area. Both factions prioritize player targets.
STR_DZBBC_MSG_COMBAT_COMPLETE,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Zone de combat securisee. Le signal de la boite noire est libere.,Zona de combate asegurada. La senal de la caja negra fue liberada.,Zona di combattimento sicura. Il segnale Blackbox e rilasciato.,Kampfbereich gesichert. Das Blackbox-Signal ist freigegeben.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.,Combat area secured. The blackbox signal is released.
STR_DZBBC_MSG_AUDIO_30,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Fragment audio reconstruit: convoi compromis...,Fragmento de audio reconstruido: convoy comprometido...,Frammento audio ricostruito: convoglio compromesso...,Audiofragment rekonstruiert: Konvoi kompromittiert...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...,Audio fragment reconstructed: convoy compromised...
STR_DZBBC_MSG_GLOBAL_WARNING,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Alerte globale: piratage de boite noire detecte.,Alerta global: hackeo de caja negra detectado.,Allarme globale: hack Blackbox rilevato.,Globale Signalwarnung: Blackbox-Hack wurde erfasst.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.,Global signal warning: Blackbox hack detected.
STR_DZBBC_MSG_HACK_CANCELED,Blackbox hack canceled.,Blackbox hack canceled.,Piratage de boite noire annule.,Hackeo de caja negra cancelado.,Hack Blackbox annullato.,Blackbox-Hack abgebrochen.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.,Blackbox hack canceled.
STR_DZBBC_MSG_DATACORE_FAILED,Data core could not be created.,Data core could not be created.,Le noyau de donnees n a pas pu etre cree.,No se pudo crear el nucleo de datos.,Impossibile creare il nucleo dati.,Datenkern konnte nicht erstellt werden.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.,Data core could not be created.
STR_DZBBC_MSG_DATACORE_UNSTABLE,Data core became unstable.,Data core became unstable.,Le noyau de donnees est devenu instable.,El nucleo de datos se volvio inestable.,Il nucleo dati e diventato instabile.,Datenkern wurde instabil.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.,Data core became unstable.
STR_DZBBC_MSG_RECOVERY_90,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Unite speciale de recuperation approche du signal.,Unidad especial de recuperacion se acerca a la senal.,Unita speciale di recupero si avvicina al segnale.,Spezial-Bergungseinheit naehert sich dem Signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.,Special recovery unit is approaching the signal.
STR_DZBBC_MSG_DATACORE_EXTRACTED,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Noyau de donnees extrait. Stabilite: 30 minutes.,Nucleo de datos extraido. Estabilidad: 30 minutos.,Nucleo dati estratto. Stabilita: 30 minuti.,Datenkern extrahiert. Stabilitaet: 30 Minuten.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.,Data core extracted. Stability: 30 minutes.
STR_DZBBC_MSG_TERMINAL_STARTED,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Dechiffrement du terminal commence. Defense finale active.,Descifrado de terminal iniciado. Defensa final activa.,Decifrazione terminale avviata. Difesa finale attiva.,Terminalentschluesselung gestartet. Finale Verteidigung aktiv.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.,Terminal decryption started. Final defense active.
STR_DZBBC_MSG_FINAL_DEFENSE,Final defense wave active.,Final defense wave active.,Vague de defense finale active.,Oleada de defensa final activa.,Ondata di difesa finale attiva.,Finale Verteidigungswelle aktiv.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.,Final defense wave active.
STR_DZBBC_MSG_REWARD_UNLOCKED,Supply container unlocked.,Supply container unlocked.,Conteneur de ravitaillement deverrouille.,Contenedor de suministros desbloqueado.,Contenitore rifornimenti sbloccato.,Vorratscontainer entsperrt.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.,Supply container unlocked.
STR_DZBBC_MSG_COMPLETED,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ termine. Recuperation reussie.,ConvoyZ completado. Recuperacion exitosa.,ConvoyZ completato. Recupero riuscito.,ConvoyZ abgeschlossen. Bergung erfolgreich.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.,ConvoyZ complete. Recovery successful.
STR_DZBBC_MSG_FAILED,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ echoue. Signal perdu.,ConvoyZ fallido. Senal perdida.,ConvoyZ fallito. Segnale perso.,ConvoyZ fehlgeschlagen. Signal verloren.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.,ConvoyZ failed. Signal lost.
